user_query,ground_truth
"List all 'p3' priority issues associated with the 'Web Design' part.""","[
  {
  ""tool_name"": ""works_list"",
  ""arguments"": [
  {
  ""argument_name"": ""issue.priority"",
  ""argument_value"": [""p3""]
  },
  {
  ""argument_name"": ""applies_to_part"",
  ""argument_value"": [""Web Design""]
  },
  {
  ""argument_name"": ""type"",
  ""argument_value"": [""issue""]
  }
  ]
  }
 ]"
"Find all tasks created by User987 in the ""Strategic Planning"" stage.","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""created_by"", ""argument_value"": [""User987""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""Strategic Planning""]}, {""argument_name"": ""type"", ""argument_value"": [""task""]}]}]"
"""List all medium severity tickets from the part 'QualityControl', check if they require a response.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""ticket.severity"", ""argument_value"": [""medium""]}, {""argument_name"": ""type"", ""argument_value"": [""ticket""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""QualityControl""]}, {""argument_name"": ""ticket.needs_response"", ""argument_value"": true}]}]"
Generate a list of all high priority tickets that need a response.,"[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""ticket.needs_response"", ""argument_value"": true}, {""argument_name"": ""ticket.severity"", ""argument_value"": [""high""]}, {""argument_name"": ""type"", ""argument_value"": [""ticket""]}]}]"
"""Find the ID for a part named 'ServerRackUnit' in our inventory system.""","[{""tool_name"": ""search_object_by_name"", ""arguments"": [{""argument_name"": ""query"", ""argument_value"": ""ServerRackUnit""}]}]"
"""Generate a list of all p3 priority issues in the testing phase for the 'GammaUpgrade' part.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""issue.priority"", ""argument_value"": [""p3""]}, {""argument_name"": ""stage.name"", ""argument_value"": [""testing""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""GammaUpgrade""]}]}]"
"""Retrieve all tickets in 'SupplyChainOptimization' part at 'Evaluation' stage,which require responses.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""stage.name"", ""argument_value"": [""Evaluation""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""SupplyChainOptimization""]}, {""argument_name"": ""type"", ""argument_value"": [""ticket""]}, {""argument_name"": ""ticket.needs_response"", ""argument_value"": true}]}]"
"Generate tasks from the following text: ""Conduct a market analysis for Q3 and prepare a competitive strategy report.""","[{""tool_name"": ""create_actionable_tasks_from_text"", ""arguments"": [{""argument_name"": ""text"", ""argument_value"": ""Conduct a market analysis for Q3 and prepare a competitive strategy report.""}]}]"
"""Find all high priority tickets in 'ServerUpgrades', which need a response.""","[{""tool_name"": ""works_list"", ""arguments"": [{""argument_name"": ""ticket.severity"", ""argument_value"": [""high""]}, {""argument_name"": ""type"", ""argument_value"": [""ticket""]}, {""argument_name"": ""applies_to_part"", ""argument_value"": [""ServerUpgrades""]}, {""argument_name"": ""ticket.needs_response"", ""argument_value"": true}]}]"
"""Create tasks from the meeting notes: 'Review quarterly budget and plan team building event'.""","[{""tool_name"": ""create_actionable_tasks_from_text"", ""arguments"": [{""argument_name"": ""text"", ""argument_value"": ""Review quarterly budget and plan team building event""}]}]"
